เลขรับ	การอุทธรณ์ของจำเลย	วันรับสำเนาอุทธรณ์	วันครบแก้อุทธรณ์	วันส่งสำเนาอุทธรณ์จำเลย	วันขอขยายแก้อุทธรณ์	วันครบขอขยายแก้อุทธรณ์	วันแก้อุทธรณ์	การแก้อุทธรณ์
"2514/2547"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"					
"266/2548"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"					
"923/2548"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"					
"287/2547"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"					
"828/2548"	"ข้อเท็จจริง"	"11/16/05 00:00:00"	"12/01/05 00:00:00"	"11/15/05 00:00:00"				
"2484/2548"	"ข้อเท็จจริง"	"11/16/05 00:00:00"	"12/01/05 00:00:00"	"11/11/05 00:00:00"				
"2818/2548"	"ข้อเท็จจริง"	"11/16/05 00:00:00"	"12/01/05 00:00:00"	"11/14/05 00:00:00"				
"2901/2548"	"ข้อเท็จจริง"	"11/16/05 00:00:00"	"12/01/05 00:00:00"	"11/15/05 00:00:00"				
"2923/2548"	"ข้อเท็จจริง"	"11/16/05 00:00:00"	"12/01/05 00:00:00"	"11/11/05 00:00:00"				
"2530/2548"	"ข้อเท็จจริง"	"11/16/05 00:00:00"	"12/01/05 00:00:00"	"11/10/05 00:00:00"				
"2951/2548"	"ข้อเท็จจริง"	"11/16/05 00:00:00"	"12/01/05 00:00:00"	"11/15/05 00:00:00"				
"2593/2548"	"ข้อเท็จจริง"	"11/16/05 00:00:00"	"12/01/05 00:00:00"	"11/09/05 00:00:00"				
"2594/2548"	"ข้อเท็จจริง"	"11/16/05 00:00:00"	"12/01/05 00:00:00"	"11/09/05 00:00:00"				
"2680/2546"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/16/05 00:00:00"				
"1936/2548"	"ข้อเท็จจริง"	"07/04/06 00:00:00"	"07/19/06 00:00:00"					
"3389/2546"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/21/05 00:00:00"				
"3471/2546"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/16/05 00:00:00"				
"147/2547"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/21/05 00:00:00"				
"1916/2548"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/24/05 00:00:00"				
"2571/2548"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"11/09/05 00:00:00"	"11/14/05 00:00:00"				
"2616/2548"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/17/05 00:00:00"				
"ว.2206/2548"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/21/05 00:00:00"				
"3104/2548"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/21/05 00:00:00"				
"2152/2548"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"11/09/05 00:00:00"	"11/16/05 00:00:00"				
"780/2547"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/24/05 00:00:00"				
"2887/2548"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/17/05 00:00:00"				
"2916/2548"	"ข้อเท็จจริง"	"11/24/05 00:00:00"	"12/09/05 00:00:00"	"11/24/05 00:00:00"				
"ว.2525/2548"	"ข้อเท็จจริง"	"11/29/05 00:00:00"	"12/14/05 00:00:00"	"11/25/05 00:00:00"				
"3513/2546"	"ข้อเท็จจริง"	"11/29/05 00:00:00"	"12/14/05 00:00:00"	"11/25/05 00:00:00"				
"791/2547"	"ข้อเท็จจริง"	"11/29/05 00:00:00"	"12/14/05 00:00:00"	"11/28/05 00:00:00"				
"2018/2547"	"ข้อเท็จจริง"	"11/29/05 00:00:00"	"12/14/05 00:00:00"	"11/28/05 00:00:00"				
"813/2547"	"ข้อเท็จจริง"	"11/29/05 00:00:00"	"12/14/05 00:00:00"	"11/25/05 00:00:00"				
"2637/2548"	"ข้อเท็จจริง"	"11/29/05 00:00:00"	"12/14/05 00:00:00"	"11/25/05 00:00:00"				
"893/2548"	"ข้อเท็จจริง"	"11/29/05 00:00:00"	"12/14/05 00:00:00"	"11/25/05 00:00:00"				
"2393/2548"	"ข้อเท็จจริง"	"11/29/05 00:00:00"	"12/14/05 00:00:00"	"11/28/05 00:00:00"				
"ว.2397/2548"	"ข้อเท็จจริง"	"12/01/05 00:00:00"	"12/16/05 00:00:00"	"11/29/05 00:00:00"				
"3472/2546"	"ข้อเท็จจริง"	"12/06/05 00:00:00"	"12/21/05 00:00:00"	"12/02/05 00:00:00"				
"235/2547"	"ข้อเท็จจริง"	"12/06/05 00:00:00"	"12/21/05 00:00:00"	"12/02/05 00:00:00"				
"2836/2548"	"ข้อเท็จจริง"	"12/06/05 00:00:00"	"12/21/05 00:00:00"	"12/02/05 00:00:00"				
"2888/2548"	"ข้อเท็จจริง"	"12/06/05 00:00:00"	"12/21/05 00:00:00"	"12/01/05 00:00:00"				
"3320/2546"	"ข้อเท็จจริง"	"12/08/05 00:00:00"	"12/23/05 00:00:00"	"12/06/05 00:00:00"				
"2922/2548"	"ข้อเท็จจริง"	"12/08/05 00:00:00"	"12/23/05 00:00:00"	"12/06/05 00:00:00"				
"1079/2547"	"ข้อเท็จจริง"	"12/08/05 00:00:00"	"12/23/05 00:00:00"	"12/06/05 00:00:00"				
"1545/2548"	"ข้อเท็จจริง"	"12/08/05 00:00:00"	"12/23/05 00:00:00"	"12/07/05 00:00:00"				
"ว.2589/2548"	"ข้อเท็จจริง"	"12/08/05 00:00:00"	"12/23/05 00:00:00"	"12/07/05 00:00:00"				
"3523/2548"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"					
"3465/2548"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"					
"356/2547"	"ข้อเท็จจริง"	"01/18/06 00:00:00"	"02/02/06 00:00:00"					
"3112/2548"	"ข้อเท็จจริง"	"01/18/06 00:00:00"	"02/02/06 00:00:00"					
"2363/2546"	"ข้อเท็จจริง"	"01/18/06 00:00:00"	"02/02/06 00:00:00"					
"3444/2548"	"ข้อเท็จจริง"	"01/18/06 00:00:00"	"02/02/06 00:00:00"					
"328/2547"	"ข้อเท็จจริง"	"01/18/06 00:00:00"	"02/02/06 00:00:00"					
"1859/2546"	"ข้อเท็จจริง(ขอลดค่าปรับ)"	"01/19/06 00:00:00"	"02/03/06 00:00:00"					
"1781/2548"	"ข้อเท็จจริง"	"01/19/06 00:00:00"	"02/03/06 00:00:00"					
"1287/2548"	"ข้อเท็จจริง"	"01/19/06 00:00:00"	"02/03/06 00:00:00"					
"130/2547"	"ข้อเท็จจริง"	"01/19/06 00:00:00"	"02/03/06 00:00:00"					
"110/2548"	"ข้อเท็จจริง"	"01/19/06 00:00:00"	"02/03/06 00:00:00"					
"612/2548"	"ข้อเท็จจริง"	"01/19/06 00:00:00"	"02/03/06 00:00:00"					
"3456/2548"	"ข้อเท็จจริง"	"01/19/06 00:00:00"	"02/03/06 00:00:00"					
"1841/2547"	"ข้อเท็จจริง"	"01/19/06 00:00:00"	"02/03/06 00:00:00"					
"101/2547"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
"207/2547"	"ข้อเท็จจริง"	"01/25/06 00:00:00"	"02/09/06 00:00:00"					
